,dataset,strategy,accuracy_mean,accuracy_stderr
0,ACSF1,pca_randf,0.47,0.050161355804659184
1,Adiac,pca_randf,0.6547314578005116,0.02407563807322976
2,ArrowHead,pca_randf,0.7371428571428571,0.03337037585221277
3,BME,pca_randf,0.9333333333333333,0.02043523444594047
4,Beef,pca_randf,0.8333333333333334,0.0692045665447833
5,BeetleFly,pca_randf,0.8,0.0917662935482247
6,BirdChicken,pca_randf,0.5,0.11470786693528087
7,CBF,pca_randf,0.7877777777777778,0.013636956209422723
8,Car,pca_randf,0.7166666666666667,0.05866531842313124
9,Chinatown,pca_randf,0.9737609329446064,0.008643453801140195
10,ChlorineConcentration,pca_randf,0.8348958333333333,0.005992197340712089
11,CinCECGTorso,pca_randf,0.5673913043478261,0.013341566556662614
12,Coffee,pca_randf,0.9642857142857143,0.03571428571428572
13,Computers,pca_randf,0.616,0.030821679117375454
14,CricketX,pca_randf,0.3641025641025641,0.024396672985094733
15,CricketY,pca_randf,0.4076923076923077,0.024915243985987913
16,CricketZ,pca_randf,0.31025641025641026,0.02345467488940427
17,Crop,pca_randf,0.7501785714285715,0.0033400691329793877
18,DiatomSizeReduction,pca_randf,0.8725490196078431,0.019094864813865183
19,DistalPhalanxOutlineAgeGroup,pca_randf,0.697841726618705,0.03908914479291558
20,DistalPhalanxOutlineCorrect,pca_randf,0.7246376811594203,0.02693682252998797
21,DistalPhalanxTW,pca_randf,0.6187050359712231,0.04134593494511909
22,ECG200,pca_randf,0.83,0.037752516806863694
23,ECG5000,pca_randf,0.9068888888888889,0.004332312726793807
24,ECGFiveDays,pca_randf,0.7526132404181185,0.014713802678511098
25,EOGHorizontalSignal,pca_randf,0.27900552486187846,0.023605802490959248
26,EOGVerticalSignal,pca_randf,0.31215469613259667,0.02438803018097055
27,Earthquakes,pca_randf,0.7482014388489209,0.036948460554439046
28,ElectricDevices,pca_randf,0.6083517053559849,0.005559020758722519
29,EthanolLevel,pca_randf,0.536,0.02232498173838533
30,FaceAll,pca_randf,0.8159763313609467,0.009428894972498844
31,FaceFour,pca_randf,0.5454545454545454,0.05338365631951849
32,FacesUCR,pca_randf,0.6234146341463415,0.010704077302699164
33,FiftyWords,pca_randf,0.4307692307692308,0.02324013222416627
34,Fish,pca_randf,0.7657142857142857,0.03210936039692624
35,FordA,pca_randf,0.8818181818181818,0.008888786200378588
36,FordB,pca_randf,0.6419753086419753,0.016855490342314913
37,FreezerRegularTrain,pca_randf,0.8989473684210526,0.005646700090577039
38,FreezerSmallTrain,pca_randf,0.6750877192982456,0.008774390176718976
39,Fungi,pca_randf,0.7580645161290323,0.03148596474236156
40,Ham,pca_randf,0.6,0.048038446141526144
41,HandOutlines,pca_randf,0.8783783783783784,0.017015042187396582
42,Haptics,pca_randf,0.3538961038961039,0.02729102724144625
43,Herring,pca_randf,0.53125,0.06287092313773097
44,InlineSkate,pca_randf,0.24545454545454545,0.018367162607242544
45,InsectEPGRegularTrain,pca_randf,0.4899598393574297,0.03174362999181955
46,InsectEPGSmallTrain,pca_randf,0.8674698795180723,0.02153072519932303
47,InsectWingbeatSound,pca_randf,0.5898989898989899,0.011056339062225298
48,ItalyPowerDemand,pca_randf,0.9630709426627794,0.005881887225712252
49,LargeKitchenAppliances,pca_randf,0.43733333333333335,0.025650514629777514
50,Lightning2,pca_randf,0.6229508196721312,0.06256770944903756
51,Lightning7,pca_randf,0.5068493150684932,0.05892003607563443
52,Mallat,pca_randf,0.8217484008528785,0.007905099623875875
53,Meat,pca_randf,0.9166666666666666,0.0359823141323644
54,MedicalImages,pca_randf,0.5868421052631579,0.01787301307874881
55,MiddlePhalanxOutlineAgeGroup,pca_randf,0.6168831168831169,0.039302608221229066
56,MiddlePhalanxOutlineCorrect,pca_randf,0.7457044673539519,0.02557135484673472
