,dataset,strategy,accuracy_mean,accuracy_stderr
0,ACSF1,tsfresh-rf-efficient-200,0.9,0.03015113445777636
1,Adiac,tsfresh-rf-efficient-200,0.7595907928388747,0.0216387958971893
2,ArrowHead,tsfresh-rf-efficient-200,0.7657142857142857,0.03210936039692624
3,BME,tsfresh-rf-efficient-200,0.9733333333333334,0.01319842261155699
4,Beef,tsfresh-rf-efficient-200,0.8666666666666667,0.06312427686319992
5,BeetleFly,tsfresh-rf-efficient-200,0.75,0.09933992677987827
6,BirdChicken,tsfresh-rf-efficient-200,0.85,0.08191780219091252
7,CBF,tsfresh-rf-efficient-200,0.9777777777777777,0.00491625021715694
8,Car,tsfresh-rf-efficient-200,0.7833333333333333,0.05363439040648223
9,Chinatown,tsfresh-rf-efficient-200,0.9737609329446064,0.008643453801140195
10,ChlorineConcentration,tsfresh-rf-efficient-200,0.7098958333333333,0.007324285095614484
11,CinCECGTorso,tsfresh-rf-efficient-200,0.8536231884057971,0.009518907584965205
12,Coffee,tsfresh-rf-efficient-200,1.0,0.0
13,Computers,tsfresh-rf-efficient-200,0.732,0.02806876238252672
14,CricketX,tsfresh-rf-efficient-200,0.6666666666666666,0.02390115797940249
15,CricketY,tsfresh-rf-efficient-200,0.6948717948717948,0.023346335293325877
16,CricketZ,tsfresh-rf-efficient-200,0.6974358974358974,0.023290888053772708
17,Crop,tsfresh-rf-efficient-200,0.7542261904761904,0.0033218260773797657
18,DiatomSizeReduction,tsfresh-rf-efficient-200,0.9019607843137255,0.017027222935582165
19,DistalPhalanxOutlineAgeGroup,tsfresh-rf-efficient-200,0.7338129496402878,0.03762240935089089
20,DistalPhalanxOutlineCorrect,tsfresh-rf-efficient-200,0.7753623188405797,0.02516675970494261
21,DistalPhalanxTW,tsfresh-rf-efficient-200,0.6618705035971223,0.040270636987402075
22,ECG200,tsfresh-rf-efficient-200,0.86,0.034873508801977704
23,ECG5000,tsfresh-rf-efficient-200,0.936,0.003648966823602409
24,ECGFiveDays,tsfresh-rf-efficient-200,0.835075493612079,0.012654827812112307
25,EOGHorizontalSignal,tsfresh-rf-efficient-200,0.511049723756906,0.026309362562827628
26,EOGVerticalSignal,tsfresh-rf-efficient-200,0.46408839779005523,0.026247825754921218
27,Earthquakes,tsfresh-rf-efficient-200,0.7482014388489209,0.036948460554439046
28,ElectricDevices,tsfresh-rf-efficient-200,0.7446504992867332,0.004966112572771711
29,EthanolLevel,tsfresh-rf-efficient-200,0.38,0.02172888143870168
30,FaceAll,tsfresh-rf-efficient-200,0.7502958579881657,0.010532084209402333
31,FaceFour,tsfresh-rf-efficient-200,0.8181818181818182,0.041350802377031086
32,FacesUCR,tsfresh-rf-efficient-200,0.7853658536585366,0.009070149302939602
33,FiftyWords,tsfresh-rf-efficient-200,0.6637362637362637,0.022172254953671082
34,Fish,tsfresh-rf-efficient-200,0.8228571428571428,0.028943391569621345
35,FordA,tsfresh-rf-efficient-200,1.0,0.0
36,FordB,tsfresh-rf-efficient-200,0.7728395061728395,0.014731154975474513
37,FreezerRegularTrain,tsfresh-rf-efficient-200,0.9540350877192982,0.003923278759295744
38,FreezerSmallTrain,tsfresh-rf-efficient-200,0.8084210526315789,0.007373038031826062
39,Fungi,tsfresh-rf-efficient-200,0.8279569892473119,0.027748310219196215
40,Ham,tsfresh-rf-efficient-200,0.7428571428571429,0.04285714285714286
41,HandOutlines,tsfresh-rf-efficient-200,0.8891891891891892,0.01634086229479014
42,Haptics,tsfresh-rf-efficient-200,0.4935064935064935,0.028534100655866996
43,Herring,tsfresh-rf-efficient-200,0.546875,0.06271663843120986
44,InlineSkate,tsfresh-rf-efficient-200,0.3472727272727273,0.020319594936176515
45,InsectEPGRegularTrain,tsfresh-rf-efficient-200,1.0,0.0
46,InsectEPGSmallTrain,tsfresh-rf-efficient-200,1.0,0.0
47,InsectWingbeatSound,tsfresh-rf-efficient-200,0.658080808080808,0.01066297656781444
48,ItalyPowerDemand,tsfresh-rf-efficient-200,0.956268221574344,0.00637810807589576
49,LargeKitchenAppliances,tsfresh-rf-efficient-200,0.7706666666666667,0.021738575311313676
50,Lightning2,tsfresh-rf-efficient-200,0.7540983606557377,0.05559286871414154
51,Lightning7,tsfresh-rf-efficient-200,0.684931506849315,0.054746935197633795
52,Mallat,tsfresh-rf-efficient-200,0.9228144989339019,0.005512470329580226
53,Meat,tsfresh-rf-efficient-200,0.9333333333333333,0.03247482002983032
54,MedicalImages,tsfresh-rf-efficient-200,0.718421052631579,0.016325584073643536
55,MiddlePhalanxOutlineAgeGroup,tsfresh-rf-efficient-200,0.6298701298701299,0.03903524043561299
56,MiddlePhalanxOutlineCorrect,tsfresh-rf-efficient-200,0.8247422680412371,0.022325372866132356
57,MiddlePhalanxTW,tsfresh-rf-efficient-200,0.5714285714285714,0.04000800240080028
58,MixedShapesRegularTrain,tsfresh-rf-efficient-200,0.9195876288659793,0.005523211659807795
59,MixedShapesSmallTrain,tsfresh-rf-efficient-200,0.8515463917525773,0.007221596645111082
60,MoteStrain,tsfresh-rf-efficient-200,0.9049520766773163,0.00829192665414215
61,NonInvasiveFetalECGThorax1,tsfresh-rf-efficient-200,0.8824427480916031,0.0072677041520428235
62,NonInvasiveFetalECGThorax2,tsfresh-rf-efficient-200,0.9206106870229007,0.006100259166230141
63,OSULeaf,tsfresh-rf-efficient-200,0.6735537190082644,0.03020532135651968
64,OliveOil,tsfresh-rf-efficient-200,0.9333333333333333,0.046320555585310084
65,PhalangesOutlinesCorrect,tsfresh-rf-efficient-200,0.8216783216783217,0.013075628561040532
66,Phoneme,tsfresh-rf-efficient-200,0.3095991561181435,0.010620523732522558
67,PigAirwayPressure,tsfresh-rf-efficient-200,0.1971153846153846,0.027650415146861458
68,PigArtPressure,tsfresh-rf-efficient-200,0.6153846153846154,0.033814383251066005
69,PigCVP,tsfresh-rf-efficient-200,0.5096153846153846,0.03474597563870524
70,Plane,tsfresh-rf-efficient-200,1.0,0.0
71,PowerCons,tsfresh-rf-efficient-200,1.0,0.0
72,ProximalPhalanxOutlineAgeGroup,tsfresh-rf-efficient-200,0.8439024390243902,0.02541142946040145
73,ProximalPhalanxOutlineCorrect,tsfresh-rf-efficient-200,0.8625429553264605,0.020219707486471443
74,ProximalPhalanxTW,tsfresh-rf-efficient-200,0.824390243902439,0.02663947476931336
75,RefrigerationDevices,tsfresh-rf-efficient-200,0.576,0.025553969311901095
76,Rock,tsfresh-rf-efficient-200,0.82,0.054883922035138706
77,ScreenType,tsfresh-rf-efficient-200,0.44266666666666665,0.025683849608634495
78,SemgHandGenderCh2,tsfresh-rf-efficient-200,0.9333333333333333,0.010191998418201969
79,SemgHandMovementCh2,tsfresh-rf-efficient-200,0.8244444444444444,0.01795414863369073
80,SemgHandSubjectCh2,tsfresh-rf-efficient-200,0.9133333333333333,0.01327753730113286
81,ShapeletSim,tsfresh-rf-efficient-200,0.9777777777777777,0.011017607812456259
82,ShapesAll,tsfresh-rf-efficient-200,0.835,0.015166026086137697
83,SmallKitchenAppliances,tsfresh-rf-efficient-200,0.8293333333333334,0.01945374024466331
84,SmoothSubspace,tsfresh-rf-efficient-200,0.96,0.01605360149017563
85,SonyAIBORobotSurface1,tsfresh-rf-efficient-200,0.8053244592346089,0.016164620554011036
86,SonyAIBORobotSurface2,tsfresh-rf-efficient-200,0.8163693599160545,0.01254866276088635
87,Strawberry,tsfresh-rf-efficient-200,0.9513513513513514,0.01119934638449324
88,SwedishLeaf,tsfresh-rf-efficient-200,0.9104,0.011433464154144297
89,Symbols,tsfresh-rf-efficient-200,0.8994974874371859,0.009536636838240324
90,SyntheticControl,tsfresh-rf-efficient-200,0.9933333333333333,0.004706155586970111
91,ToeSegmentation1,tsfresh-rf-efficient-200,0.793859649122807,0.026849762024673315
92,ToeSegmentation2,tsfresh-rf-efficient-200,0.8153846153846154,0.03416019538398572
93,Trace,tsfresh-rf-efficient-200,1.0,0.0
94,TwoLeadECG,tsfresh-rf-efficient-200,0.8858647936786654,0.009425890801316807
95,TwoPatterns,tsfresh-rf-efficient-200,0.9545,0.0032954745543145275
96,UMD,tsfresh-rf-efficient-200,0.9375,0.02024219611347799
97,UWaveGestureLibraryAll,tsfresh-rf-efficient-200,0.9427694025683976,0.00388163521153771
98,UWaveGestureLibraryX,tsfresh-rf-efficient-200,0.8101619207146845,0.006553531909671736
99,UWaveGestureLibraryY,tsfresh-rf-efficient-200,0.7158012283640425,0.007537115272335656
100,UWaveGestureLibraryZ,tsfresh-rf-efficient-200,0.7565605806811837,0.007171584929002363
101,Wafer,tsfresh-rf-efficient-200,0.9998377676833226,0.00016223231667748217
102,Wine,tsfresh-rf-efficient-200,0.6851851851851852,0.0637960262540699
103,WordSynonyms,tsfresh-rf-efficient-200,0.5987460815047022,0.019420538553802467
104,Worms,tsfresh-rf-efficient-200,0.7272727272727273,0.05108649881354694
105,WormsTwoClass,tsfresh-rf-efficient-200,0.7532467532467533,0.0494530721159994
